"lead_id","created_at","source","campaign_id","triage_category","lead_status","lead_score","company_size","industry","persona","region","preferred_channel","gdpr_consent","email","phone","assigned_engagement_agent","last_active_at"
"L0000001","2025-07-15T11:13:15","Referral","CMP0022","General Inquiry","Qualified","69","1001-5000","Retail","Procurement","India","Call","True","xrvqyh@example.com","+1-906-579-4559","EN-015","2025-08-06T01:19:44"
"L0000002","2025-06-15T20:21:52","Outbound","CMP0004","General Inquiry","Open","57","5000+","Manufacturing","Founder","MEA","Ads","True","zyvcfq@example.com","+1-221-251-6464","EN-008","2025-06-28T01:47:18"
"L0000003","2025-08-18T15:07:26","Website","CMP0027","Cold Lead","New","72","11-50","HealthTech","Marketing Manager","EU","Web","True","hzzouc@example.com","+1-226-334-1243","EN-012","2025-08-28T05:13:24"
"L0000004","2025-06-16T04:50:29","Google Ads","CMP0001","Campaign Qualified","New","90","5000+","Retail","Procurement","US","Call","True","muncny@example.com","+1-244-944-9543","EN-010","2025-07-30T16:09:28"
"L0000005","2025-05-07T01:10:21","Website","CMP0016","Cold Lead","Open","55","1-10","Media","Engineer","MEA","Email","True","iddqps@example.com","+1-590-811-9692","EN-010","2025-08-03T03:38:22"
"L0000006","2025-08-07T04:02:19","Google Ads","CMP0004","Cold Lead","New","55","5000+","HealthTech","Sales Lead","MEA","Social","False","ilkclr@example.com","+1-583-356-8770","EN-003","2025-08-09T09:10:51"
"L0000007","2025-05-17T13:49:36","Website","CMP0004","Cold Lead","Open","91","11-50","SaaS","Procurement","LATAM","Web","False","rkwykx@example.com","+1-252-494-6119","EN-012","2025-06-06T16:38:25"
"L0000008","2025-08-21T05:17:43","Google Ads","CMP0005","Cold Lead","New","75","1-10","Manufacturing","Procurement","APAC","Email","False","ouvzvp@example.com","+1-858-770-1430","EN-020","2025-08-24T11:11:42"
"L0000009","2025-05-06T14:55:53","Website","CMP0023","Cold Lead","Converted","50","51-200","SaaS","CMO","EU","Web","True","kdqatf@example.com","+1-629-664-6585","EN-006","2025-07-17T11:30:13"
"L0000010","2025-06-30T12:20:07","Event","CMP0025","General Inquiry","Open","70","1-10","FinTech","CMO","LATAM","Email","True","cllpkf@example.com","+1-724-316-6655","EN-014","2025-07-11T06:43:37"
"L0000011","2025-06-25T00:01:27","Google Ads","CMP0019","Campaign Qualified","Qualified","50","1-10","HealthTech","Sales Lead","LATAM","Email","True","fytthd@example.com","+1-709-964-8055","EN-006","2025-07-07T13:02:55"
"L0000012","2025-07-13T19:53:42","Google Ads","CMP0008","Cold Lead","Unqualified","50","51-200","E‑commerce","Sales Lead","India","Email","False","axwoos@example.com","+1-627-496-2887","EN-013","2025-07-14T20:11:40"
"L0000013","2025-07-03T01:31:45","Website","CMP0020","Campaign Qualified","Qualified","64","51-200","E‑commerce","Sales Lead","US","Social","False","pnkiii@example.com","+1-372-278-9363","EN-004","2025-08-23T13:55:40"
"L0000014","2025-08-08T00:32:55","Website","CMP0025","Campaign Qualified","Qualified","21","5000+","FinTech","CMO","US","Social","False","fptreu@example.com","+1-705-675-8354","EN-019","2025-08-23T15:07:06"
"L0000015","2025-07-02T18:15:34","Outbound","CMP0021","Campaign Qualified","Open","25","201-1000","Media","Engineer","APAC","Ads","True","bnilbv@example.com","+1-278-860-2479","EN-020","2025-08-20T23:48:47"
"L0000016","2025-07-14T15:49:05","Referral","CMP0018","General Inquiry","Qualified","48","1-10","Media","Procurement","India","Social","False","pnylvv@example.com","+1-931-286-9266","EN-006","2025-07-16T13:25:18"
"L0000017","2025-06-18T02:34:09","Event","CMP0015","Cold Lead","Qualified","39","51-200","Manufacturing","Marketing Manager","MEA","SMS","False","rbqiio@example.com","+1-595-490-5128","EN-020","2025-07-02T16:57:51"
"L0000018","2025-07-04T17:34:46","Website","CMP0022","Campaign Qualified","New","66","5000+","Retail","CMO","LATAM","Call","True","ijuvrv@example.com","+1-956-901-9624","EN-003","2025-08-14T20:11:16"
"L0000019","2025-08-07T17:43:41","LinkedIn","CMP0012","Campaign Qualified","Converted","41","51-200","Media","CMO","EU","Social","True","cvcuvw@example.com","+1-238-877-6517","EN-020","2025-08-10T22:04:10"
"L0000020","2025-08-24T23:22:12","LinkedIn","CMP0006","Campaign Qualified","Qualified","31","1001-5000","FinTech","Engineer","MEA","Email","False","jszptu@example.com","+1-439-746-4918","EN-010","2025-08-27T19:40:31"
"L0000021","2025-06-07T16:10:51","LinkedIn","CMP0019","General Inquiry","Open","89","51-200","Retail","Procurement","LATAM","SMS","True","vudgqw@example.com","+1-767-305-9452","EN-004","2025-07-05T08:25:32"
"L0000022","2025-05-17T06:53:11","Event","CMP0009","Campaign Qualified","Open","55","201-1000","E‑commerce","CMO","MEA","Ads","True","kkjkcf@example.com","+1-526-301-6493","EN-005","2025-06-13T00:08:49"
"L0000023","2025-05-08T10:30:20","LinkedIn","CMP0027","Campaign Qualified","Unqualified","61","5000+","Media","Sales Lead","LATAM","Email","True","afdypl@example.com","+1-994-495-4893","EN-010","2025-06-01T02:21:36"
"L0000024","2025-05-10T06:31:42","Website","CMP0021","Cold Lead","Open","31","1-10","Media","Procurement","LATAM","Email","True","ngdlpg@example.com","+1-626-391-2402","EN-017","2025-07-19T07:03:49"
"L0000025","2025-05-14T03:24:30","Partner","CMP0018","Cold Lead","Converted","49","1001-5000","SaaS","Sales Lead","MEA","Email","True","kjtjbg@example.com","+1-872-843-2698","EN-019","2025-07-17T17:03:26"
"L0000026","2025-05-26T21:44:01","Website","CMP0018","Campaign Qualified","Qualified","62","5000+","Media","Engineer","MEA","Call","True","vbulhb@example.com","+1-404-242-6170","EN-010","2025-07-15T22:39:51"
"L0000027","2025-07-17T07:51:30","Partner","CMP0018","Campaign Qualified","New","36","5000+","HealthTech","Marketing Manager","APAC","Email","True","idjxtx@example.com","+1-595-547-4060","EN-016","2025-08-19T22:10:35"
"L0000028","2025-08-05T14:37:37","LinkedIn","CMP0026","Cold Lead","Unqualified","67","5000+","Retail","Founder","MEA","Web","True","oicrhp@example.com","+1-636-370-8272","EN-012","2025-08-16T11:05:55"
"L0000029","2025-05-09T05:23:21","Event","CMP0030","Campaign Qualified","Converted","47","51-200","SaaS","Founder","India","Call","False","jurydp@example.com","+1-648-235-3068","EN-003","2025-06-24T01:12:26"
"L0000030","2025-07-11T03:12:51","LinkedIn","CMP0019","Campaign Qualified","New","54","201-1000","Manufacturing","Marketing Manager","MEA","Email","True","djihya@example.com","+1-390-711-9482","EN-013","2025-07-22T13:37:01"
"L0000031","2025-06-20T19:58:03","Event","CMP0023","Campaign Qualified","Converted","47","51-200","Media","CMO","US","Social","True","lxlcrv@example.com","+1-527-883-6692","EN-003","2025-08-13T05:33:13"
"L0000032","2025-08-14T06:42:06","LinkedIn","CMP0010","General Inquiry","Qualified","97","5000+","FinTech","Marketing Manager","LATAM","Social","True","zugmjo@example.com","+1-678-764-3126","EN-020","2025-08-16T08:55:32"
"L0000033","2025-05-13T18:24:30","LinkedIn","CMP0023","Cold Lead","Open","59","201-1000","E‑commerce","CMO","APAC","Call","True","lriwuq@example.com","+1-386-986-3114","EN-014","2025-08-19T09:55:24"
"L0000034","2025-05-11T18:14:33","Outbound","CMP0017","Campaign Qualified","New","38","51-200","HealthTech","Marketing Manager","LATAM","Ads","True","gqodhn@example.com","+1-714-856-3762","EN-019","2025-06-10T16:50:23"
"L0000035","2025-06-03T05:51:09","Google Ads","CMP0024","General Inquiry","New","76","1001-5000","SaaS","Founder","US","Email","True","ugfoqa@example.com","+1-842-758-5745","EN-010","2025-07-20T03:11:43"
"L0000036","2025-06-17T13:12:49","Outbound","CMP0022","Campaign Qualified","Open","35","5000+","SaaS","CMO","MEA","SMS","False","midwiz@example.com","+1-553-608-3142","EN-012","2025-08-06T13:12:15"
"L0000037","2025-08-18T01:29:03","Website","CMP0008","Campaign Qualified","New","64","11-50","FinTech","Founder","US","Ads","False","wkzxvy@example.com","+1-938-520-4110","EN-006","2025-08-24T02:36:52"
"L0000038","2025-08-08T22:47:29","Referral","CMP0029","Campaign Qualified","New","20","201-1000","Media","CMO","EU","Web","False","bhpvrh@example.com","+1-208-310-8060","EN-005","2025-08-15T08:51:28"
"L0000039","2025-07-11T00:38:50","Event","CMP0012","Campaign Qualified","New","33","1001-5000","HealthTech","Marketing Manager","LATAM","Ads","True","klovqp@example.com","+1-331-299-7453","EN-012","2025-08-12T22:46:23"
"L0000040","2025-08-17T07:41:05","Outbound","CMP0025","Campaign Qualified","Qualified","63","201-1000","SaaS","Founder","US","Social","True","imlpni@example.com","+1-827-526-3662","EN-013","2025-08-24T19:15:12"
"L0000041","2025-06-28T02:31:59","Google Ads","CMP0017","Cold Lead","Open","74","5000+","EdTech","Sales Lead","US","Ads","False","rzpusr@example.com","+1-227-811-8775","EN-009","2025-08-23T06:28:33"
"L0000042","2025-08-21T03:58:17","Website","CMP0002","Cold Lead","New","63","5000+","Retail","CMO","India","Social","True","oselkk@example.com","+1-408-620-9221","EN-020","2025-08-26T21:20:11"
"L0000043","2025-05-13T02:15:06","Event","CMP0017","Campaign Qualified","New","57","5000+","Media","Procurement","MEA","Ads","True","lnorwr@example.com","+1-909-470-8932","EN-007","2025-06-29T23:06:50"
